t_name,gene_name,male_10,male_11,male_12,male_13,male_14A,male_14B,male_14C,male_14D,female_10,female_11,female_12,female_13,female_14A,female_14B,female_14C,female_14D,median,stage_p,stage_logP,stage_cor_p,sex_p,sex_logP,sex_beta,stage_beta,sex_cor_p
FBtr0086307,PCNA,7.626387553586575,7.676626612553166,7.763267244628275,7.724947046791538,7.830599398966846,8.57626148752636,8.497449965472695,8.464794476880236,7.760893871954282,7.862821459112707,7.147975255796878,7.808592629086246,7.647716598995009,8.363125584715258,8.4990503482666,8.319065366072602,7.819637974837009,0.010648855526371839,1.9726970650224045,0.0340374198566324,0.01316246619939124,1.8806627310533113,0.09388658405075767,0.1696706866176414,0.04158847580663004
FBtr0086273,RpS18,10.10117874059533,10.812825692133982,10.729516940544478,10.696641388148556,10.981730509831115,11.723140184694254,11.305295921135333,11.36182648696008,10.33469449746918,10.747954999190076,10.1530882884229,11.224920894919096,11.092858997274993,11.587828964034601,11.050854120762365,11.05706124378235,11.016706264233628,0.00022165592800147752,3.654320649368465,0.0017976671448933388,0.0003615688986026707,3.441808933689351,0.05786173227343694,0.24540470200402098,0.0028466114475912277
FBtr0086274,RpS18,9.888681887399203,9.473707904529386,9.794230661484226,9.746538247172372,10.635195584216895,10.884352507043968,10.731225089000604,10.803659071369786,9.801736714667387,10.095157338796405,10.027932344860261,10.029043045700872,10.615461957371915,10.966441131940282,10.77878643082755,10.676040048128984,10.378639453571108,9.471515928622285e-05,4.023580506028706,0.0009496876215741995,0.0001320919456505266,3.879123662825852,-0.12912600750966052,0.2656302860523334,0.0013850847378390782
FBtr0086297,MED8,5.2419583317904515,5.364090204429334,5.128362613733103,5.037569971010201,5.6214653069664315,6.013212111426851,5.797748123861267,5.9421409749105685,5.397390831520049,5.2991927028386305,5.093624441927434,5.621288321937894,5.743885288361561,5.971770803629292,5.908585439617966,5.8595893251255395,5.621376817166155,0.001511646082409607,2.8205498771207616,0.007582881600345921,0.0019354599248268903,2.7132158166502327,-0.09359743960377331,0.1614933060583758,0.009854924615480095
FBtr0086283,CG8929,3.0822659002428447,4.192483937941187,4.77167237975137,5.492920167700056,6.257761480608695,6.9604103365653565,6.707489438143282,7.069591299005918,4.309458454761811,4.143135584940882,4.792558663786569,5.195441346828932,5.923399799624348,6.755264463856762,7.472762791482935,6.7596432071165165,5.724156893713442,1.1361889091312227e-07,6.944549454388648,1.2657979089848473e-05,3.073673115310171e-07,6.512342321535584,-0.1021336715550003,0.7990641278622036,3.478080164590642e-05
FBtr0086284,CG8929,3.2815623559190903,-3.321928094887362,3.178362010106679,2.550730288552031,5.000594763668151,6.097883804200848,6.577071629933448,7.258241608907446,3.3307131300977746,3.5878890429369013,2.835671075294547,4.5092250209439095,4.843984949176416,5.859766841289255,6.452443751355467,6.739320709915451,4.686292904225677,0.003992424747852775,2.3987632610129714,0.01582455331488999,0.004474611658881988,2.3492446501185715,-0.9420620193261611,1.132625995449946,0.01834540531593534
FBtr0345355,CG8929,1.3733937512171668,1.0221838465842692,0.6533581585620977,1.7425335930970567,0.9702808790516356,3.112464612323966,4.3502948312571315,1.7528342087503173,-0.28938110818599044,0.48847798993584696,1.3695038941256115,2.842616252549636,2.8292886056418824,2.3366273082203532,1.5932308916378848,3.109361395264383,1.669812774783426,0.002763605586638147,2.558523938059476,0.012113452884333008,0.003936644205966279,2.4048738349857577,0.08720233145676118,0.5449264672809828,0.016722152584009088
FBtr0086268,CG13427,1.140522808263224,4.182111368707175,6.3675323637767365,8.056710603914869,10.302419320436602,11.766120683683639,12.585407271109286,12.333847856917457,-3.321928094887362,4.372947223933863,5.955061807362052,8.795093156643963,9.930447555875173,11.421112095789193,12.159111091589086,12.188727946574637,9.471687882621259,2.560821355039917e-09,8.591620717207674,1.0503025871885145e-06,6.18568624148245e-09,8.208612112630389,0.6542624367410868,2.910214559724257,2.663865779894417e-06
FBtr0100495,CG13430,-3.321928094887362,-3.321928094887362,2.1821211441673745,1.3946304747888054,2.714945096336702,-3.321928094887362,1.8495393646462386,2.8482888223912086,-3.321928094887362,-3.321928094887362,2.0374138519982896,-3.321928094887362,2.6817150655418045,2.2158966149924657,0.6957399833207278,3.29561239409,1.6399412947042356,0.005622490288057671,2.2500712860651366,0.02053711147202745,0.007702728429027293,2.1133554135569423,0.007893374048399848,1.2135896788536311,0.027505638457384775
FBtr0100677,CG18065,-3.321928094887362,-3.321928094887362,2.1821211441673745,1.3946304747888054,2.714945096336702,-3.321928094887362,1.8495393646462386,2.8482888223912086,-3.321928094887362,-3.321928094887362,2.0374138519982896,-3.321928094887362,2.6817150655418045,2.2158966149924657,0.6957399833207278,3.29561239409,1.6399412947042356,0.005622490288057671,2.2500712860651366,0.02053711147202745,0.007702728429027293,2.1133554135569423,0.007893374048399848,1.2135896788536311,0.027505638457384775
FBtr0086257,Nnf1a,-3.321928094887362,-3.321928094887362,-3.321928094887362,3.2186297620893405,3.455733320844408,3.3759849731523914,3.07263903591665,3.5042980061987397,-3.321928094887362,-3.321928094887362,-3.321928094887362,3.352506568041309,2.8548153359774773,2.6905643747740244,2.986511419785693,3.6217719827137556,2.922165587242861,8.510876120576988e-07,6.070025730779442,4.659235482878643e-05,2.1171167987371293e-06,5.674255181825754,0.1401394271136906,1.9564550611586822,0.00010601585457862148
FBtr0086220,bl,5.6493227807003885,5.858136822650162,6.183517896903694,6.218379392557773,6.81990894890097,7.888254086273294,7.219712797937261,7.949093110047609,5.746198700855342,5.976268010479745,5.89567025327029,6.552035601878677,6.462247026939599,7.578840663844461,7.301964530714044,8.32464641012643,6.507839719750974,8.815573185277173e-05,4.05474944478155,0.0009082360268515825,0.00016076072033773412,3.793820056485961,-0.006443170267179887,0.47189013063436025,0.001576034593475173
FBtr0301760,bl,-3.321928094887362,-3.321928094887362,0.6107000621347644,-3.321928094887362,3.313979639875678,5.062596831707375,6.200240733215867,6.076625811393942,1.607999214033096,0.9233987061426482,2.3672606225566803,-3.321928094887362,3.221463851361009,5.152909209042759,6.049459589992376,6.503346715520255,2.8566802919882472,0.004953998082071641,2.305044165886206,0.018805105985404604,0.005505124075763183,2.2592328883521673,-1.4006938775119677,1.6283449791236222,0.021327201754679167
FBtr0086225,CG9945,5.177245307715538,4.297360479364313,4.665684907674748,2.3326798670422377,-3.321928094887362,-3.321928094887362,1.5302071124231185,-3.321928094887362,5.358681825698214,5.144296534746984,4.794632280368149,3.5102968607696807,-3.321928094887362,-3.321928094887362,-3.321928094887362,-3.321928094887362,1.9865338094076488,1.1545595980437573e-05,4.937583644008403,0.00022206886295646563,2.3429551585100313e-05,4.630236023224638,0.3146497834404983,-2.2367230011542083,0.0004386928865271065
