t_name,gene_name,male_10,male_11,male_12,male_13,male_14A,male_14B,male_14C,male_14D,female_10,female_11,female_12,female_13,female_14A,female_14B,female_14C,female_14D,median,stage_p,stage_logP,stage_cor_p
FBtr0079929,bib,-3.321928094887362,-3.321928094887362,-3.321928094887362,-3.321928094887362,4.026833515319317,1.3748603174612,2.016111526135795,6.290278508671123,-3.321928094887362,-3.321928094887362,-3.321928094887362,-3.321928094887362,3.760112447460782,5.232779620756204,2.199746460163519,6.5942366883002475,0.42944349995283976,0.00023462163965836194,3.6296319344591708,0.0018741472181318837
FBtr0329984,bib,-3.321928094887362,-3.321928094887362,-3.321928094887362,-3.321928094887362,4.026833515319317,6.695872386733381,7.5179872892399935,6.290278508671123,-3.321928094887362,-3.321928094887362,-3.321928094887362,-3.321928094887362,4.061035222306505,5.232779620756204,7.898468317777779,6.559415164170944,3.0356571617088224,7.59572659907536e-05,4.1194306756688,0.0008106814522656267
FBtr0343745,CR44873,-3.321928094887362,-3.321928094887362,-3.321928094887362,-1.672418399018318,-1.1713879143226422,-1.0326572464413712,-1.4983213809711353,-3.321928094887362,-3.321928094887362,-3.321928094887362,-3.321928094887362,-1.259792564127731,-3.321928094887362,-0.5000730054468214,-0.24320726164666437,-1.4443605122905687,-2.2732489833499927,0.0041401654418136095,2.3829823040406644,0.01630509599924125
FBtr0079937,Pen,9.478588487701556,9.581452240572778,9.10746380112411,8.800652673266802,7.69708662187771,6.4321876261966,7.603761321522036,6.903526664110693,9.474177949006222,9.440894683367162,9.42545813401866,8.827946296201398,7.319412286009034,7.122223028116572,7.439664606133099,7.244994905297337,8.351912524257362,3.96971705010558e-06,5.401240447382247,0.00011512179445306183
FBtr0079946,RpL7,9.893216102883972,10.310760901348985,10.182568361481378,10.04299192824419,11.603493079148727,11.07557325653153,11.781625415448767,10.867237275533158,9.969047735332381,10.482353912205394,9.889409861946499,10.47789808575265,11.517456334271214,11.025295991368186,10.777828006517764,11.572312176960724,10.637642172226583,0.00030358550555994665,3.5177189673141145,0.00226780742358007
FBtr0112350,CG34159,5.865635912711734,6.304523198070697,6.860713916461893,6.2588847530237715,6.719305070320788,7.486889583559339,6.900825095985567,7.1757937240400835,6.711352653760592,6.335335039901672,6.053216319122251,7.135085578751999,6.519315207650296,7.428297756472017,7.556623994481463,7.117340558204405,6.791741361666204,0.003966748943455368,2.4015652852637506,0.015730022398702154
FBtr0079960,CG5734,5.169451399142351,5.245097322690036,3.8251764740205516,1.7455837094889164,0.8048804340672815,2.110798859461834,3.961337075861454,4.162257255117866,5.392316151832569,5.203971406206961,4.026100049687256,1.8767754543547208,0.4976276929742931,1.890987091365904,3.891534772808928,4.166001953868166,3.9268580411202074,0.0038466341227085246,2.4149191201775655,0.015381179061693834
FBtr0079951,eEF1delta,7.362379384325983,6.498485892769898,7.54641085226918,7.547689751946692,7.911381255231084,7.941997499771542,8.327900411798316,8.068078882288344,7.135466092626407,6.995068338570272,7.624707075062005,7.866035119730423,7.977537215521171,7.6876598060138415,8.109463053144275,8.151881313009286,7.779602506884894,7.028531787463689e-05,4.153135386672512,0.0007777966717122766
FBtr0079952,eEF1delta,8.477255388459836,7.41211904584968,8.68797264843325,8.697457243289577,8.798033070861036,9.037815937289269,9.101091709445166,8.741562116867783,8.357311819886108,8.129776638188982,8.463566006478896,9.179622184067137,8.958105007422814,8.597287162483775,8.854570219365376,8.977101250112929,8.719678215707516,0.0029107746135104986,2.5359914214585646,0.01260106281152846
FBtr0080086,CG5676,6.463356880141503,4.632435221053164,6.535264846075172,6.790390882525863,7.023702686984152,6.860853325619306,7.627680327913615,7.002849448642692,6.067450323087159,5.212418524981851,6.673677015705334,7.112932529699796,7.040537826796709,6.3172323877370085,7.015088249827371,7.436283349998669,6.826052241969318,0.0029994139986125935,2.5229635859563793,0.012839936764438504
